Idx, Offset, ROM,    Length, T, Inflated
000, 008000, 00CCE0, 000100, 0, 000100
001, 008100, 00CDE0, 00059E, 1, 000800
002, 0086A0, 00D380, 00016A, 1, 000200
003, 008810, 00D4F0, 00045E, 1, 000800
004, 008C70, 00D950, 0001B6, 1, 000200
005, 008E28, 00DB08, 000530, 1, 000800
006, 009358, 00E038, 000564, 1, 000800
007, 0098C0, 00E5A0, 0004BE, 1, 000800
008, 009D80, 00EA60, 0005EA, 1, 000800
009, 00A370, 00F050, 0005FC, 1, 000800
00A, 00A970, 00F650, 0005DA, 1, 000800
00B, 00AF50, 00FC30, 00047C, 1, 000800
00C, 00B3D0, 0100B0, 0004B4, 1, 000800
00D, 00B888, 010568, 00056E, 1, 000800
00E, 00BDF8, 010AD8, 000442, 1, 000800
00F, 00C240, 010F20, 0003DE, 1, 000800
010, 00C620, 011300, 000270, 1, 000400
011, 00C890, 011570, 00011A, 5, 001000
012, 00C9B0, 011690, 00014C, 5, 001000
013, 00CB00, 0117E0, 000118, 5, 001000
014, 00CC18, 0118F8, 00012E, 5, 001000
015, 00CD48, 011A28, 00015C, 5, 001000
016, 00CEA8, 011B88, 00017C, 5, 001000
017, 00D028, 011D08, 000162, 5, 001000
018, 00D190, 011E70, 00017A, 5, 001000
019, 00D310, 011FF0, 00018C, 5, 001000
01A, 00D4A0, 012180, 0001BA, 5, 001000
01B, 00D660, 012340, 00017A, 5, 001000
01C, 00D7E0, 0124C0, 0001AC, 5, 001000
01D, 00D990, 012670, 0001B6, 5, 001000
01E, 00DB48, 012828, 0001FA, 5, 001000
01F, 00DD48, 012A28, 0001A8, 5, 001000
020, 00DEF0, 012BD0, 0001D6, 5, 001000
021, 00E0C8, 012DA8, 0001A6, 5, 001000
022, 00E270, 012F50, 0001E8, 5, 001000
023, 00E458, 013138, 00018A, 5, 001000
024, 00E5E8, 0132C8, 0001C8, 5, 001000
025, 00E7B0, 013490, 000176, 5, 001000
026, 00E928, 013608, 0001BA, 5, 001000
027, 00EAE8, 0137C8, 000180, 5, 001000
028, 00EC68, 013948, 000198, 5, 001000
029, 00EE00, 013AE0, 000172, 5, 001000
02A, 00EF78, 013C58, 0001CA, 5, 001000
02B, 00F148, 013E28, 000198, 5, 001000
02C, 00F2E0, 013FC0, 00017A, 5, 001000
02D, 00F460, 014140, 000188, 5, 001000
02E, 00F5E8, 0142C8, 000222, 5, 001000
02F, 00F810, 0144F0, 0001C8, 5, 001000
030, 00F9D8, 0146B8, 0001A4, 5, 001000
031, 00FB80, 014860, 0001BA, 5, 001000
032, 00FD40, 014A20, 000258, 5, 001000
033, 00FF98, 014C78, 0001F0, 5, 001000
034, 010188, 014E68, 0001E2, 5, 001000
035, 010370, 015050, 0001FC, 5, 001000
036, 010570, 015250, 00021E, 5, 001000
037, 010790, 015470, 00021C, 5, 001000
038, 0109B0, 015690, 00022A, 5, 001000
039, 010BE0, 0158C0, 00024E, 5, 001000
03A, 010E30, 015B10, 00023E, 5, 001000
03B, 011070, 015D50, 00025E, 5, 001000
03C, 0112D0, 015FB0, 000260, 5, 001000
03D, 011530, 016210, 0002C6, 5, 001000
03E, 0117F8, 0164D8, 00026E, 5, 001000
03F, 011A68, 016748, 0002A8, 5, 001000
040, 011D10, 0169F0, 0002C4, 5, 001000
041, 011FD8, 016CB8, 00033A, 5, 001000
042, 012318, 016FF8, 0002BA, 5, 001000
043, 0125D8, 0172B8, 0002D0, 5, 001000
044, 0128A8, 017588, 00034A, 5, 001000
045, 012BF8, 0178D8, 00036C, 5, 001000
046, 012F68, 017C48, 000308, 5, 001000
047, 013270, 017F50, 0002F2, 5, 001000
048, 013568, 018248, 00039C, 5, 001000
049, 013908, 0185E8, 0003A4, 5, 001000
04A, 013CB0, 018990, 00032E, 5, 001000
04B, 013FE0, 018CC0, 00031A, 5, 001000
04C, 014300, 018FE0, 00041E, 5, 001000
04D, 014720, 019400, 0003DA, 5, 001000
04E, 014B00, 0197E0, 0003B8, 5, 001000
04F, 014EB8, 019B98, 000334, 5, 001000
050, 0151F0, 019ED0, 0004C4, 5, 001000
051, 0156B8, 01A398, 0003E0, 5, 001000
052, 015A98, 01A778, 000432, 5, 001000
053, 015ED0, 01ABB0, 00033A, 5, 001000
054, 016210, 01AEF0, 000510, 5, 001000
055, 016720, 01B400, 0003EC, 5, 001000
056, 016B10, 01B7F0, 00046A, 5, 001000
057, 016F80, 01BC60, 00031C, 5, 001000
058, 0172A0, 01BF80, 000534, 5, 001000
059, 0177D8, 01C4B8, 0003A8, 5, 001000
05A, 017B80, 01C860, 0004D0, 5, 001000
05B, 018050, 01CD30, 000350, 5, 001000
05C, 0183A0, 01D080, 00057C, 5, 001000
05D, 018920, 01D600, 00033E, 5, 001000
05E, 018C60, 01D940, 0004DE, 5, 001000
05F, 019140, 01DE20, 000300, 5, 001000
060, 019440, 01E120, 000516, 5, 001000
061, 019958, 01E638, 0002AA, 5, 001000
062, 019C08, 01E8E8, 00047A, 5, 001000
063, 01A088, 01ED68, 0002F4, 5, 001000
064, 01A380, 01F060, 00045C, 5, 001000
065, 01A7E0, 01F4C0, 0002BC, 5, 001000
066, 01AAA0, 01F780, 00048A, 5, 001000
067, 01AF30, 01FC10, 0002EA, 5, 001000
068, 01B220, 01FF00, 0003DE, 5, 001000
069, 01B600, 0202E0, 0001FC, 5, 001000
06A, 01B800, 0204E0, 0003C4, 5, 001000
06B, 01BBC8, 0208A8, 000272, 5, 001000
06C, 01BE40, 020B20, 0002D4, 5, 001000
06D, 01C118, 020DF8, 000144, 5, 001000
06E, 01C260, 020F40, 000390, 5, 001000
06F, 01C5F0, 0212D0, 000246, 5, 001000
070, 01C838, 021518, 0002A8, 5, 001000
071, 01CAE0, 0217C0, 00008C, 5, 001000
072, 01CB70, 021850, 000218, 5, 001000
073, 01CD88, 021A68, 000156, 5, 001000
074, 01CEE0, 021BC0, 000180, 5, 001000
075, 01D060, 021D40, 000100, 0, 000100
076, 01D160, 021E40, 0000BC, 5, 001000
077, 01D220, 021F00, 000238, 5, 001000
078, 01D458, 022138, 00008C, 5, 001000
079, 01D4E8, 0221C8, 00010A, 5, 001000
07A, 01D5F8, 0222D8, 000118, 5, 001000
07B, 01D710, 0223F0, 000308, 5, 001000
07C, 01DA18, 0226F8, 0000DE, 5, 001000
07D, 01DAF8, 0227D8, 00018C, 5, 001000
07E, 01DC88, 022968, 0001BA, 5, 001000
07F, 01DE48, 022B28, 000406, 5, 001000
080, 01E250, 022F30, 000134, 5, 001000
081, 01E388, 023068, 00023C, 5, 001000
082, 01E5C8, 0232A8, 00024C, 5, 001000
083, 01E818, 0234F8, 000490, 5, 001000
084, 01ECA8, 023988, 00019C, 5, 001000
085, 01EE48, 023B28, 0002CE, 5, 001000
086, 01F118, 023DF8, 000278, 5, 001000
087, 01F390, 024070, 0004BC, 5, 001000
088, 01F850, 024530, 0001BA, 5, 001000
089, 01FA10, 0246F0, 0002FC, 5, 001000
08A, 01FD10, 0249F0, 00022E, 5, 001000
08B, 01FF40, 024C20, 00047C, 5, 001000
08C, 0203C0, 0250A0, 0001B4, 5, 001000
08D, 020578, 025258, 000304, 5, 001000
08E, 020880, 025560, 000250, 5, 001000
08F, 020AD0, 0257B0, 000438, 5, 001000
090, 020F08, 025BE8, 000210, 5, 001000
091, 021118, 025DF8, 000318, 5, 001000
092, 021430, 026110, 00027A, 5, 001000
