Saving generated levels to: /tmp/BlastCorps
Name,0x20,0x24,0x28,0x2C,0x30,0x34,0x38,0x3C,0x40,0x44,0x48,0x4C,0x50,0x54,0x58,0x5C,0x60,0x64,0x68,0x6C,0x70,0x74,0x78,0x7C,0x80,0x84,0x88,0x8C,0x90,0x94,0x98,0x9C,0xA0,0xA4,0xA8,0xAC,0xB0,0xB4,0xB8,0xBC,0xC0
chimp,0,0,0,0,46172,600,24,0,240,50,72,8,36,10,0,532,76,0,121,10566,73,3316,80,1240,42192,4294923784,72,43040,144,136,8,4294923892,0,0,0,0,0,0,0,0,4294839268
lagp,0,0,0,40,32384,600,0,0,510,50,32,8,18,10,8,448,533,0,0,7512,35,172,1600,0,30640,4294935056,72,31792,128,128,8,4294935000,0,0,0,160,0,0,0,0,4294875448
valley,0,0,16,0,22372,600,0,0,850,980,112,8,18,10,0,392,1,0,0,10782,115,8,80,0,27552,4294939664,72,27160,120,176,8,4294939756,0,0,0,0,0,0,0,0,4294890404
fact,0,0,16,40,16932,600,0,0,400,250,36,8,27,9,0,392,1,0,0,3228,61,168,1424,0,16088,4294949784,72,17056,144,128,8,4294949724,0,0,0,160,0,0,0,0,4294921316
dip,0,0,0,0,60684,600,0,0,290,20,64,8,18,10,0,294,1,0,0,19628,227,19188,117936,1312,32,4294848016,72,119176,8,8,8,4294832148,1500,880,0,540,7544,4228,0,1176,4294758664
beetle,0,0,8,0,73048,600,0,0,80,40,36,8,18,10,0,294,1,0,0,10640,37,4,80,0,36800,4294930416,72,36536,128,128,8,4294930424,0,0,0,0,0,0,0,0,4294814816
bonus1,104,0,0,20,9200,0,0,0,20,10,80,8,18,10,0,364,1,647,0,1642,80,332,2072,0,9240,4294955984,72,10920,176,128,8,4294955664,0,0,0,0,0,0,0,324,4294943396
bonus2,0,0,0,0,15440,0,0,0,90,40,80,8,18,10,0,56,1,0,0,2940,81,12,80,0,10808,4294956408,72,10536,96,168,8,4294956408,0,0,0,0,0,0,0,0,4294934200
bonus3,0,0,0,0,6256,510,0,0,260,260,36,8,18,10,0,182,1,0,0,1290,37,4,80,0,4896,4294962320,72,4640,152,96,8,4294962328,0,0,0,0,0,0,0,0,4294950976
level9,0,0,16,0,51740,600,0,974,180,40,36,8,45,9,0,238,1,90,77,17208,50,9480,71208,0,32,4294896056,72,71136,8,8,8,4294886588,160,1480,0,60,364,7288,0,112,4294821996
level10,24,80,16,80,48360,600,12,198,520,50,24,8,63,9,0,210,1,436,0,18342,1119,128,2416,0,31944,4294932936,72,33968,96,120,8,4294932908,0,0,0,120,0,0,0,0,4294830452
level11,0,0,0,20,14020,0,0,0,50,80,36,8,18,10,0,0,1,0,0,8856,101,2696,20888,0,23224,4294923184,72,43824,8,104,8,4294920588,180,0,0,0,2512,0,0,0,4294883344
level12,0,0,0,0,46652,600,120,0,50,20,60,8,18,10,0,294,1,245,0,10232,114,16,80,0,29328,4294937888,72,29016,160,144,8,4294937884,0,0,0,0,0,0,0,0,4294853452
level13,0,240,8,20,70880,600,168,0,80,30,4,8,36,10,0,266,1,288,242,28062,11013,36,2728,0,45728,4294918840,72,48016,136,216,8,4294918816,0,0,0,20,0,0,0,0,4294768796
level14,80,0,8,20,44828,600,84,1362,70,10,64,8,63,9,0,378,1,1181,715,15060,103,3748,27960,0,26048,4294913288,72,53744,8,168,8,4294909552,0,0,0,320,0,0,0,3412,4294849708
